time,open,high,low,close,volume
2026-03-02 00:00:00,1.17723,1.17763,1.17563,1.17727,1529.0
2026-03-02 01:00:00,1.17727,1.17878,1.17571,1.17593,5316.0
2026-03-02 02:00:00,1.1759,1.17781,1.17562,1.17774,4172.0
2026-03-02 03:00:00,1.17774,1.17941,1.17753,1.17919,4012.0
2026-03-02 04:00:00,1.17919,1.17934,1.17809,1.17888,2363.0
2026-03-02 05:00:00,1.17887,1.17959,1.17883,1.17888,1685.0
2026-03-02 06:00:00,1.17888,1.17903,1.17818,1.17865,1295.0
2026-03-02 07:00:00,1.17865,1.17865,1.17662,1.17663,2284.0
2026-03-02 08:00:00,1.17664,1.17666,1.17302,1.17323,5252.0
2026-03-02 09:00:00,1.17324,1.17344,1.17035,1.17164,5995.0
2026-03-02 10:00:00,1.17161,1.17237,1.16981,1.17227,5389.0
2026-03-02 11:00:00,1.17224,1.17437,1.17212,1.17331,4606.0
2026-03-02 12:00:00,1.17329,1.17474,1.17329,1.17386,3516.0
2026-03-02 13:00:00,1.17386,1.17413,1.17263,1.17333,3469.0
2026-03-02 14:00:00,1.17333,1.17339,1.17021,1.17037,4524.0
2026-03-02 15:00:00,1.17037,1.17183,1.16953,1.16984,5650.0
2026-03-02 16:00:00,1.16983,1.17239,1.16949,1.17177,6719.0
2026-03-02 17:00:00,1.17135,1.17162,1.16799,1.16802,6903.0
2026-03-02 18:00:00,1.168,1.16944,1.16717,1.16895,5755.0
2026-03-02 19:00:00,1.16896,1.17078,1.16867,1.17072,3775.0
2026-03-02 20:00:00,1.17072,1.17074,1.16868,1.16944,2808.0
2026-03-02 21:00:00,1.16945,1.17134,1.16938,1.17111,2861.0
2026-03-02 22:00:00,1.17112,1.17133,1.16785,1.16902,5354.0
2026-03-02 23:00:00,1.16902,1.16952,1.16891,1.16899,1206.0
2026-03-03 00:00:00,1.16859,1.16909,1.16798,1.16864,1003.0
2026-03-03 01:00:00,1.16864,1.16982,1.16855,1.16947,1516.0
2026-03-03 02:00:00,1.16948,1.16957,1.16864,1.16953,1895.0
2026-03-03 03:00:00,1.16953,1.17069,1.16924,1.1697,3138.0
2026-03-03 04:00:00,1.16967,1.16991,1.16858,1.16943,3207.0
2026-03-03 05:00:00,1.16945,1.16976,1.16863,1.16904,1930.0
2026-03-03 06:00:00,1.16904,1.16935,1.16792,1.1681,1845.0
2026-03-03 07:00:00,1.16811,1.16849,1.1665,1.16666,3291.0
2026-03-03 08:00:00,1.16666,1.16716,1.16619,1.16692,3544.0
2026-03-03 09:00:00,1.16692,1.16693,1.16426,1.16436,4753.0
2026-03-03 10:00:00,1.16436,1.16462,1.16179,1.16229,6894.0
2026-03-03 11:00:00,1.16229,1.1629,1.15986,1.16056,6361.0
2026-03-03 12:00:00,1.16057,1.16129,1.15891,1.1592,5812.0
