<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:00:00	1.43736	1.43860	1.43691	1.43732	5571	0	1
2025.01.02	04:00:00	1.43732	1.43802	1.43710	1.43712	4931	0	1
2025.01.02	08:00:00	1.43712	1.44223	1.43708	1.44146	11369	0	1
2025.01.02	12:00:00	1.44147	1.44321	1.44097	1.44214	14548	0	1
2025.01.02	16:00:00	1.44214	1.44422	1.43924	1.44032	30766	0	1
2025.01.02	20:00:00	1.44031	1.44201	1.43967	1.44026	12659	0	1
2025.01.03	00:00:00	1.43912	1.44086	1.43878	1.43913	5953	0	1
2025.01.03	04:00:00	1.43913	1.43952	1.43832	1.43925	4762	0	1
2025.01.03	08:00:00	1.43927	1.44032	1.43846	1.43902	11405	0	1
2025.01.03	12:00:00	1.43902	1.44195	1.43890	1.44140	11155	0	1
2025.01.03	16:00:00	1.44139	1.44620	1.44090	1.44574	22617	0	1
2025.01.03	20:00:00	1.44573	1.44636	1.44398	1.44483	10066	0	1
2025.01.06	00:00:00	1.44303	1.44505	1.43975	1.44004	7769	0	1
2025.01.06	04:00:00	1.44004	1.44067	1.43877	1.43895	7609	0	1
2025.01.06	08:00:00	1.43896	1.43995	1.43585	1.43744	14045	0	1
2025.01.06	12:00:00	1.43742	1.43804	1.42994	1.43053	27454	0	1
2025.01.06	16:00:00	1.43054	1.43791	1.42797	1.43641	34578	0	1
2025.01.06	20:00:00	1.43641	1.43735	1.43284	1.43323	12812	0	1
2025.01.07	00:00:00	1.43226	1.43500	1.43196	1.43360	5740	0	1
2025.01.07	04:00:00	1.43360	1.43373	1.43116	1.43150	6117	0	1
2025.01.07	08:00:00	1.43150	1.43218	1.43019	1.43024	12273	0	1
2025.01.07	12:00:00	1.43022	1.43231	1.42978	1.43210	12296	0	1
2025.01.07	16:00:00	1.43210	1.43659	1.43175	1.43447	32917	0	1
2025.01.07	20:00:00	1.43446	1.43712	1.43383	1.43709	12195	0	1
2025.01.08	00:00:00	1.43599	1.43680	1.43480	1.43494	6231	0	1
2025.01.08	04:00:00	1.43494	1.43523	1.43423	1.43428	4783	0	1
2025.01.08	08:00:00	1.43428	1.43696	1.43393	1.43642	12652	0	1
2025.01.08	12:00:00	1.43642	1.44099	1.43624	1.43953	23932	0	1
2025.01.08	16:00:00	1.43951	1.44067	1.43751	1.43910	28468	0	1
2025.01.08	20:00:00	1.43910	1.43937	1.43721	1.43753	15312	0	1
2025.01.09	00:00:00	1.43618	1.43864	1.43608	1.43776	5634	0	1
2025.01.09	04:00:00	1.43776	1.43813	1.43651	1.43740	6436	0	1
2025.01.09	08:00:00	1.43741	1.44049	1.43711	1.43848	14817	0	1
2025.01.09	12:00:00	1.43849	1.43988	1.43804	1.43951	13582	0	1
2025.01.09	16:00:00	1.43951	1.44042	1.43879	1.43961	11698	0	1
2025.01.09	20:00:00	1.43961	1.44001	1.43878	1.43934	5266	0	1
2025.01.10	00:00:00	1.43931	1.44028	1.43824	1.44010	5088	0	1
2025.01.10	04:00:00	1.44009	1.44178	1.44000	1.44169	5184	0	1
2025.01.10	08:00:00	1.44170	1.44219	1.43952	1.44107	11722	0	1
2025.01.10	12:00:00	1.44107	1.44371	1.43829	1.44032	17865	0	1
2025.01.10	16:00:00	1.44032	1.44429	1.43755	1.44152	40237	0	1
2025.01.10	20:00:00	1.44152	1.44372	1.44145	1.44209	14801	0	1
2025.01.13	00:00:00	1.44105	1.44283	1.44105	1.44226	6863	0	1
2025.01.13	04:00:00	1.44228	1.44472	1.44168	1.44347	7666	0	1
2025.01.13	08:00:00	1.44345	1.44433	1.44142	1.44357	17352	0	1
2025.01.13	12:00:00	1.44358	1.44402	1.43918	1.44083	17941	0	1
2025.01.13	16:00:00	1.44084	1.44275	1.43967	1.44086	28390	0	1
2025.01.13	20:00:00	1.44085	1.44196	1.43747	1.43767	12156	0	1
2025.01.14	00:00:00	1.43644	1.43853	1.43430	1.43763	10085	0	1
2025.01.14	04:00:00	1.43763	1.43878	1.43706	1.43833	8002	0	1
2025.01.14	08:00:00	1.43832	1.43842	1.43579	1.43762	17341	0	1
2025.01.14	12:00:00	1.43761	1.43983	1.43612	1.43963	18383	0	1
2025.01.14	16:00:00	1.43962	1.44104	1.43509	1.43673	30860	0	1
2025.01.14	20:00:00	1.43673	1.43691	1.43471	1.43490	12201	0	1
2025.01.15	00:00:00	1.43490	1.43569	1.43368	1.43555	3912	0	1
2025.01.15	04:00:00	1.43555	1.43628	1.43499	1.43626	4814	0	1
2025.01.15	08:00:00	1.43626	1.43641	1.43290	1.43470	12348	0	1
2025.01.15	12:00:00	1.43471	1.43669	1.43021	1.43082	16492	0	1
2025.01.15	16:00:00	1.43082	1.43581	1.43028	1.43372	32489	0	1
