<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.02	00:00:00	1.17460	1.17498	1.17383	1.17457	353	0	26
2026.01.02	01:00:00	1.17457	1.17508	1.17446	1.17508	695	0	0
2026.01.02	02:00:00	1.17508	1.17566	1.17500	1.17563	997	0	0
2026.01.02	03:00:00	1.17564	1.17628	1.17564	1.17610	1645	0	0
2026.01.02	04:00:00	1.17610	1.17637	1.17582	1.17593	1128	0	0
2026.01.02	05:00:00	1.17593	1.17649	1.17592	1.17644	880	0	0
2026.01.02	06:00:00	1.17644	1.17648	1.17552	1.17555	894	0	0
2026.01.02	07:00:00	1.17555	1.17578	1.17506	1.17514	880	0	0
2026.01.02	08:00:00	1.17513	1.17515	1.17408	1.17439	1250	0	0
2026.01.02	09:00:00	1.17435	1.17472	1.17322	1.17348	2242	0	0
2026.01.02	10:00:00	1.17347	1.17385	1.17239	1.17287	3189	0	0
2026.01.02	11:00:00	1.17287	1.17374	1.17207	1.17215	2536	0	0
2026.01.02	12:00:00	1.17216	1.17237	1.17132	1.17211	2271	0	0
2026.01.02	13:00:00	1.17211	1.17226	1.17151	1.17219	1722	0	0
2026.01.02	14:00:00	1.17219	1.17273	1.17205	1.17237	1840	0	0
2026.01.02	15:00:00	1.17238	1.17291	1.17182	1.17217	2654	0	0
2026.01.02	16:00:00	1.17218	1.17305	1.17158	1.17286	2895	0	0
2026.01.02	17:00:00	1.17285	1.17522	1.17282	1.17507	4178	0	0
2026.01.02	18:00:00	1.17508	1.17544	1.17342	1.17375	3159	0	0
2026.01.02	19:00:00	1.17375	1.17378	1.17285	1.17307	1979	0	0
2026.01.02	20:00:00	1.17307	1.17312	1.17154	1.17192	1832	0	0
2026.01.02	21:00:00	1.17192	1.17244	1.17143	1.17232	1753	0	0
2026.01.02	22:00:00	1.17232	1.17237	1.17152	1.17178	1496	0	0
2026.01.02	23:00:00	1.17176	1.17234	1.17174	1.17194	715	0	0
2026.01.05	00:00:00	1.17186	1.17203	1.17091	1.17101	476	0	21
2026.01.05	01:00:00	1.17101	1.17129	1.17002	1.17053	1804	0	0
2026.01.05	02:00:00	1.17053	1.17112	1.17035	1.17050	2441	0	0
2026.01.05	03:00:00	1.17050	1.17072	1.16998	1.17003	2584	0	0
2026.01.05	04:00:00	1.17003	1.17017	1.16840	1.16888	2474	0	0
2026.01.05	05:00:00	1.16888	1.16909	1.16723	1.16753	2063	0	0
2026.01.05	06:00:00	1.16753	1.16830	1.16733	1.16819	1702	0	0
2026.01.05	07:00:00	1.16819	1.16861	1.16802	1.16854	1278	0	0
2026.01.05	08:00:00	1.16854	1.16919	1.16782	1.16909	1946	0	0
2026.01.05	09:00:00	1.16908	1.16921	1.16835	1.16863	2653	0	0
2026.01.05	10:00:00	1.16864	1.16947	1.16812	1.16835	3106	0	0
2026.01.05	11:00:00	1.16835	1.16875	1.16738	1.16824	2477	0	0
2026.01.05	12:00:00	1.16825	1.16901	1.16797	1.16901	2463	0	0
2026.01.05	13:00:00	1.16900	1.16910	1.16802	1.16815	2569	0	0
2026.01.05	14:00:00	1.16815	1.16851	1.16699	1.16707	2432	0	0
2026.01.05	15:00:00	1.16708	1.16752	1.16591	1.16744	4041	0	0
2026.01.05	16:00:00	1.16745	1.16875	1.16733	1.16857	3955	0	0
2026.01.05	17:00:00	1.16859	1.17046	1.16855	1.17044	4790	0	0
2026.01.05	18:00:00	1.17045	1.17187	1.17041	1.17149	3861	0	0
2026.01.05	19:00:00	1.17149	1.17197	1.17101	1.17146	2702	0	0
2026.01.05	20:00:00	1.17146	1.17253	1.17133	1.17250	1751	0	0
2026.01.05	21:00:00	1.17251	1.17287	1.17221	1.17272	2013	0	0
2026.01.05	22:00:00	1.17272	1.17288	1.17237	1.17248	1233	0	0
2026.01.05	23:00:00	1.17249	1.17264	1.17193	1.17213	947	0	0
2026.01.06	00:00:00	1.17202	1.17220	1.17078	1.17178	298	0	21
2026.01.06	01:00:00	1.17178	1.17210	1.17127	1.17147	834	0	0
2026.01.06	02:00:00	1.17147	1.17172	1.17107	1.17170	1600	0	0
2026.01.06	03:00:00	1.17170	1.17254	1.17123	1.17254	2384	0	0
2026.01.06	04:00:00	1.17253	1.17380	1.17221	1.17376	1780	0	0
2026.01.06	05:00:00	1.17373	1.17383	1.17324	1.17346	1493	0	0
2026.01.06	06:00:00	1.17346	1.17357	1.17315	1.17337	1203	0	0
2026.01.06	07:00:00	1.17337	1.17369	1.17273	1.17289	1504	0	0
2026.01.06	08:00:00	1.17290	1.17369	1.17286	1.17362	1579	0	0
2026.01.06	09:00:00	1.17362	1.17429	1.17259	1.17291	2418	0	0
2026.01.06	10:00:00	1.17290	1.17389	1.17260	1.17286	2993	0	0
2026.01.06	11:00:00	1.17285	1.17290	1.17079	1.17134	2992	0	0
2026.01.06	12:00:00	1.17132	1.17172	1.17082	1.17127	2200	0	0
2026.01.06	13:00:00	1.17127	1.17130	1.17048	1.17061	2128	0	0
2026.01.06	14:00:00	1.17061	1.17122	1.16971	1.17015	2599	0	0
2026.01.06	15:00:00	1.17014	1.17137	1.16974	1.17110	3365	0	0
2026.01.06	16:00:00	1.17110	1.17175	1.16993	1.17093	3959	0	0
2026.01.06	17:00:00	1.17092	1.17092	1.16839	1.16954	4726	0	0
2026.01.06	18:00:00	1.16954	1.16982	1.16857	1.16881	2828	0	0
2026.01.06	19:00:00	1.16881	1.17008	1.16869	1.17007	2009	0	0
